 16262138-2423040     1, 3  N                      
 16262152-2426009  1, 2, 3  Y  6049137943776073216 
 16262177-2422513        1  N                      
 16262189-2444397  1, 2, 3  Y  6049117499731769856 
 16262203-2442364        1  N  6049118457508739200 
 16262218-2423523        1  N                      
 16262226-2424070     1, 3  N                      
 16262238-2422529        1  N                      
 16262295-2428461     1, 3  N                      
 16262335-2420597  1, 2, 3  Y  6049163060744821760 
 16262357-2424394     1, 3  N                      
 16262367-2443138  1, 2, 3  Y  6049118388788178816 
 16262381-2418290     1, 3  N                      
 16262404-2424480  1, 2, 3  Y  6049161514556593920 
 16262407-2416134  1, 2, 3  Y  6049168008547148416 
 16262425-2401156     1, 2  Y  6049365370884635904 
 16262523-2423239        1  N                      
 16262528-2424450        1  N                      
 16262548-2423015     1, 3  N                      
 16262568-2414278     1, 2  Y  6049168214705579776 
 16262753-2441535     1, 3  N                      
 16262780-2426418     1, 3  Y  6049161136599471360 
 16262847-2415411        1  N                      
 16262967-2419055        1  N                      
 16263046-2422571        1  N                      
 16263103-2431052        1  N                      
 16263135-2425302        1  N  6049161338462378752 
 16263252-2426354        1  N                      
 16263297-2400168  1, 2, 3  Y  6049365336524897152 
 16263416-2423282     1, 2  Y  6049161961233192576 
 16263682-2415518  1, 2, 3  Y  6049167905467933056 
 16263682-2419002        1  N  6049164499558341504 
 16263713-2415599     1, 2  Y  6049164916170694912 
 16263778-2423007        1  N                      
 16263780-2439031     1, 3  N  6049120519093106560 
 16263880-2423227        1  N                      
 16263991-2422334        1  N                      
 16264046-2427144     1, 3  N                      
 16264083-2430509     1, 3  N                      
 16264125-2440179  1, 2, 3  N  6049119698755044480 
 16264201-2433262        1  N                      
 16264214-2431029     1, 3  N                      
 16264243-2426258        1  N                      
 16264252-2426319        1  N                      
 16264273-2424277        1  N                      
 16264285-2420299  1, 2, 3  Y  6049163679220111744 
 16264289-2422590        1  N                      
 16264310-2411095     1, 2  Y  6049174605616916608 
 16264348-2452248        2  N  6049062936467156992 
 16264375-2416333        1  Y  6049164877514306688 
 16264386-2424506        1  N                      
 16264419-2434483     1, 3  N                      
 16264429-2443141     1, 2  Y  6049117843329171968 
 16264441-2447138     1, 2  Y  6049070083292838912 
 16264502-2423077     1, 3  N  6049161819498750208 
 16264612-2358101     1, 2  Y  6049366917072861952 
 16264643-2412000  1, 2, 3  N  6049174399458485248 
 16264675-2419083        1  N  6049163816659162368 
 16264705-2444298     1, 2  Y  6049070736127902208 
 16264810-2442033     1, 2  Y  6049117877688943744 
 16264839-2428348        1  N                      
 16264848-2428389     1, 3  N                      
 16264853-2412273        1  N  6049174330739089280 
 16264864-2356341  1, 2, 3  Y  6049367398109200256 
 16264897-2438252  1, 2, 3  Y  6049119831897974784 
 16264923-2420029        1  N  6049163644860373248 
 16265048-2413522     1, 2  Y  6049165500286247040 
 16265128-2432419        1  N  6049144983226879232 
 16265168-2414415        1  N  6049165392911576320 
 16265197-2430394     1, 3  N                      
 16265335-2440023        1  N                      
 16265346-2432362     1, 3  N                      
 16265429-2424381     1, 3  N                      
 16265444-2426207     1, 3  N                      
 16265477-2427022     1, 3  N                      
 16265497-2422296        1  N                      
 16265636-2441204        1  N                      
 16265677-2413515  1, 2, 3  Y  6049171096626943744 
 16265733-2435388     1, 3  N                      
 16265752-2446060        1  N  6049069808414965760 
 16265827-2437409     1, 3  N                      
 16265839-2421299     1, 3  N                      
 16265843-2445318  1, 2, 3  N  6049069838478958592 
 16265850-2445368     1, 2  N  6049069808414965888 
 16265863-2418346     1, 3  N                      
 16265867-2424555     1, 3  N                      
 16265904-2435568     1, 3  N                      
 16265916-2434588        1  N                      
 16265950-2419508        1  N                      
 16270055-2416255        1  Y  6049164396478646400 
 16270233-2437272     1, 3  N                      
 16270300-2426146     1, 3  N                      
 16270359-2420054     1, 3  N                      
 16270405-2409318     1, 2  Y  6049174914854560640 
 16270410-2428299     1, 3  N                      
 16270451-2442596     1, 2  Y  6049072213596652288 
 16270456-2442140     1, 2  Y  6049072282316129280 
 16270457-2427156     1, 3  N                      
 16270516-2420077        1  Y  6049152130052048640 
 16270524-2436297     1, 3  N                      
 16270567-2440130     1, 3  N                      
 16270592-2418402        1  N                      
 16270597-2426185     1, 3  N                      
 16270597-2428363     1, 3  N                      
 16270604-2438123        1  N  6049120038056772736 
 16270650-2419214        1  N                      
 16270655-2407031     1, 2  Y  6049175121012992256 
 16270659-2441488  1, 2, 3  Y  6049072316675781120 
 16270677-2438149     1, 3  N                      
 16270750-2441040        1  N                      
 16270907-2412007  1, 2, 3  Y  6049171650679414528 
 16270910-2434081     1, 3  Y  6049144021153793024 
 16270931-2443196        1  N  6049071453386664448 
 16270935-2440224     1, 3  N                      
 16270943-2437187     1, 3  N                      
 16271003-2429133        1  N                      
 16271027-2419127     1, 2  Y  6049152267490979072 
 16271030-2410295        1  N  6049171886901605504 
 16271031-2419188        1  N  6049152203067495808 
 16271117-2440466     1, 3  N                      
 16271171-2438320     1, 3  N                      
 16271187-2410312     1, 2  Y  6049171788118368256 
 16271213-2434491     1, 3  N                      
 16271326-2441337        3  N                      
 16271372-2418168     1, 3  Y  6049158177365995904 
 16271382-2443316     1, 3  Y  6049071423321049472 
 16271448-2451334     1, 2  Y  6049065307289238528 
 16271450-2426460     1, 3  N                      
 16271513-2451388  1, 2, 3  Y  6049065307289238144 
 16271545-2426398     1, 3  N                      
 16271551-2430536     1, 3  N                      
 16271569-2438434        1  N                      
 16271587-2438433     1, 3  N                      
 16271588-2425141     1, 3  N                      
 16271643-2431145     1, 3  N                      
 16271707-2447111        1  N  6049067987348832000 
 16271757-2428562     1, 3  N                      
 16271758-2405136  1, 2, 3  Y  6049176770280443648 
 16271781-2358454        2  N  6050679837035464576 
 16271817-2428526        1  N                      
 16271836-2454537     1, 2  Y  6049064551374989312 
 16271838-2439146     1, 3  N                      
 16271848-2429059     1, 3  N                      
 16271921-2428438     1, 3  N                      
 16271951-2441403     1, 2  N  6049072007438134272 
 16272146-2441430     1, 3  N                      
 16272180-2429533     1, 3  N                      
 16272183-2427275     1, 3  N                      
 16272183-2443356        1  N                      
 16272197-2429397        1  N                      
 16272291-2417573        1  N  6049158044223018112 
 16272297-2448071  1, 2, 3  Y  6049067776894321024 
 16272419-2429294        1  N                      
 16272439-2441475        1  N                      
 16272461-2441034     1, 3  N                      
 16272463-2429353     1, 3  N                      
 16272622-2419229     1, 3  N                      
 16272628-2442461     1, 3  N                      
 16272648-2439230        1  N                      
 16272658-2425543  1, 2, 3  Y  6049147667582029568 
 16272661-2440451        1  N                      
 16272693-2440508     1, 3  N                      
 16272706-2432175        1  N                      
 16272738-2431165     1, 3  N  6049145812156155392 
 16272802-2439335     1, 3  N                      
 16272844-2427210     1, 3  N                      
 16272873-2454317     1, 2  Y  6049053143941850496 
 16272943-2439161        1  N                      
 16272996-2433365     1, 3  N                      
 16273018-2427433     1, 3  N                      
 16273045-2435353        1  N                      
 16273052-2432347     1, 2  N  6049144265967927936 
 16273084-2424560  1, 2, 3  N  6049147701941768064 
 16273084-2447268        1  Y  6049067849909782272 
 16273091-2427331     1, 3  N                      
 16273105-2434032        1  Y  6049097291910027008 
 16273213-2429435     1, 3  N                      
 16273267-2433239     1, 3  N                      
 16273271-2432423        1  N                      
 16273272-2445004     1, 3  N                      
 16273285-2432348     1, 3  N                      
 16273311-2441152  1, 2, 3  Y  6049095200261620352 
 16273526-2438334     1, 2  Y  6049095612578393856 
 16273566-2445325        1  Y  6049068361009897344 
 16273615-2404576        3  N  6049174017205957632 
 16273664-2358269     2, 3  Y  6050679287279645824 
 16273704-2421440        1  N                      
 16273714-2359330     1, 2  N  6050678703164091904 
 16273718-2430350     1, 2  Y  6049145880875631744 
 16273724-2442380     1, 3  N                      
 16273742-2417548     1, 3  N  6049157558891237888 
 16273797-2357238     1, 2  Y  6050679390358863488 
 16273812-2430429        1  Y  6049145876579665280 
 16273832-2357324  1, 2, 3  Y  6050679390358862464 
 16273832-2436585  1, 2, 3  Y  6049096093613205376 
 16273833-2404013     1, 2  Y  6050675438988944896 
 16273863-2438391     1, 3  Y  6049095784377084800 
 16273894-2440206     1, 3  N                      
 16273901-2358187  1, 2, 3  Y  6050679321639383680 
 16273914-2421503        1  N                      
 16273942-2439155  1, 2, 3  Y  6049095406419962112 
 16273971-2422476        1  N                      
 16273982-2443150     1, 3  N                      
 16274010-2426365     1, 3  N                      
 16274028-2422040  1, 2, 3  Y  6049153921054413440 
 16274055-2424496        1  N                      
 16274084-2429007        1  Y  6049146357616459136 
 16274145-2436571        1  N                      
 16274149-2435376     1, 3  N                      
 16274160-2438382        1  N                      
 16274161-2446447     1, 3  N                      
 16274175-2443360     1, 3  N                      
 16274178-2442346     1, 3  N                      
 16274187-2404272     1, 2  Y  6050675232830514048 
 16274225-2422261        1  N                      
 16274270-2438506  1, 2, 3  Y  6049095711361647360 
 16274378-2443080        3  N                      
 16274499-2406284        3  Y  6049173123852388224 
 16274522-2503328     1, 2  Y  6049047921261602560 
 16274578-2444538     1, 3  N                      
 16274629-2431411     1, 3  Y  6049098906817732096 
 16274709-2445350     1, 3  N                      
 16274799-2457134        1  N  6049051872631524992 
 16274825-2442256        3  N                      
 16274978-2425219     1, 3  N  6049152649742577024 
 16274987-2425402     1, 2  Y  6049152615384353408 
 16275113-2425321        1  N                      
 16275180-2431455     1, 3  N                      
 16275191-2446296        1  N  6049090767855398144 
 16275209-2440503     1, 2  N  6049092481546213632 
 16275485-2422595        1  N  6049153229564170880 
 16275523-2402153        3  Y  6050675743930750592 
 16275525-2428395     1, 3  N                      
 16275558-2426179  1, 2, 3  Y  6049152374866183936 
 16275565-2444509        1  N  6049090974012149632 
 16275565-2444509        1  Y  6049090974013703424 
 16275782-2440017        1  Y  6049092623281148544 
 16275889-2435144        3  N                      
 16275996-2448193     1, 2  Y  6049078741946841856 
 16280011-2453427     1, 2  Y  6049054002935211904 
 16280080-2400517     1, 2  Y  6050675885665543552 
 16280256-2355035        3  Y  6050681211424993280 
 16280336-2453236        2  Y  6049054002935211776 
 16280355-2434386        1  N                      
 16280455-2434484        3  N                      
 16280464-2434560        1  N                      
 16280478-2437100     1, 3  N  6049094478707115264 
 16280478-2450354     1, 3  Y  6049054445315865728 
 16280803-2353044        3  N  6050681417583425664 
 16280810-2445121        1  Y  6049079493565136768 
 16281099-2406177     1, 2  N  6050662790309050112 
 16281254-2450453        1  Y  6049077642435210240 
 16281271-2411355     1, 3  Y  6050660939179347840 
 16281370-2431391     1, 3  N                      
 16281379-2432494  1, 2, 3  N  6049095131542056064 
 16281385-2456113        2  N  6049050635680846208 
 16281650-2436579  1, 2, 3  Y  6049094616145974272 
 16281673-2405142  1, 2, 3  Y  6050662725885745536 
 16281773-2417050        3  N  6049155462947206400 
 16281922-2457340     1, 2  Y  6049049811047121536 
 16282004-2423178     1, 2  Y  6049107535407613184 
 16282151-2421549  1, 2, 3  Y  6049107638486828928 
 16282157-2455328        1  N  6049050012909538688 
 16282170-2442471     1, 3  N                      
 16282296-2448289        2  Y  6049078187895045376 
 16282333-2422405  1, 2, 3  Y  6049107569767351680 
 16282373-2441412        1  N  6049081284565928192 
 16282373-2441412        1  Y  6049081284567483136 
 16282430-2409316     1, 2  Y  6050661420215685376 
 16282479-2435434     1, 2  Y  6049094032030421504 
 16282516-2445009     1, 2  N  6049078638867625984 
 16283217-2405482        2  Y  6050663378720773632 
 16283256-2415242     1, 2  N  6050656781651004160 
 16283266-2422449  1, 2, 3  Y  6049107428032112384 
 16284304-2422522     1, 2  Y  6049107020011536000 
 16284527-2428190  1, 2, 3  N  6049102961266075392 
 16284703-2428138        2  Y  6049102965562403328 
 16284870-2426317        3  Y  6049103304863521792 
 16284999-2435181        1  N                      
 16285084-2457145        1  N  6046070615571135872 
