Name,RA,Dec,Region,IRAC1,IRAC2,IRAC3,IRAC4,MIPS1,WISE1,WISE2,WISE3,WISE4 
2MASSJ04210795+2702204,65.2831420898,27.0390052795,Taurus,2.704E-01,3.913E-01,4.539E-01,5.849E-01,1.617E+00,1.917E-01,3.073E-01,5.712E-01,1.527E+00
2MASSJ04214631+2659296,65.4429779053,26.991558075,Taurus,6.778E-03,5.311E-03,4.391E-03,4.236E-03,8.887E-03,6.18E-03,5.465E-03,5.39E-03,
2MASSJ04230607+2801194,65.7753067017,28.0220813751,Taurus,1.592E-02,1.355E-02,1.213E-02,1.177E-02,1.908E-02,1.47E-02,1.354E-02,1.085E-02,2.189E-02
CFHT4,69.947845459,26.0279941559,Taurus,4.276E-02,4.242E-02,4.172E-02,4.934E-02,7.472E-02,3.629E-02,4.401E-02,4.397E-02,7.256E-02
CIDA1,63.5733718872,28.1026935577,Taurus,9.52E-02,1.007E-01,1.059E-01,1.331E-01,2.763E-01,7.457E-02,9.187E-02,1.806E-01,3.238E-01
CIDA7,70.5875701904,25.3428840637,Taurus,4.395E-02,4.064E-02,3.986E-02,4.923E-02,1.49E-01,4.151E-02,4.111E-02,5.253E-02,1.51E-01
CIDA9,76.3452529907,25.5253410339,Taurus,,,,,,6.459E-02,8.143E-02,1.124E-01,1.826E-01
FOTau,63.705368042,28.2084960938,Taurus,2.732E-01,2.439E-01,2.35E-01,2.736E-01,5.268E-01,3.343E-01,2.967E-01,2.549E-01,5.194E-01
FRTau,64.8977279663,28.4560585022,Taurus,4.795E-02,4.822E-02,5.754E-02,7.89E-02,8.309E-02,4.714E-02,5.287E-02,8.211E-02,9.468E-02
FSTau,65.5090713501,26.9584693909,Taurus,5.615E-01,5.405E-01,5.462E-01,6.478E-01,2.102E+00,4.144E-01,4.516E-01,6.339E-01,2.363E+00
HD142987,239.585617065,-18.6236667633,USco,,1.799E-01,,6.859E-02,7.934E-03,3.264E-01,1.8E-01,3.218E-02,9.468E-03
HD147810,246.291320801,-30.7992477417,USco,,2.286E-01,,8.096E-02,9.628E-03,3.946E-01,2.323E-01,3.729E-02,1.109E-02
HD149598,249.220367432,-27.1385478973,USco,,1.125E-01,,4.21E-02,5.389E-03,1.952E-01,1.059E-01,1.862E-02,6.847E-03
HIP76071,233.043060303,-21.9668006897,USco,,2.723E-01,,9.21E-02,1.046E-02,4.779E-01,2.561E-01,4.085E-02,1.125E-02
HIP78494,240.36100769,-25.1984825134,USco,,3.184E-01,,1.057E-01,1.147E-02,5.427E-01,3.003E-01,4.725E-02,1.833E-02
HIP78530,240.481109619,-21.9804573059,USco,,3.184E-01,,1.057E-01,1.269E-02,5.62E-01,2.992E-01,4.929E-02,1.737E-02
HIP79410,243.0909729,-19.579044342,USco,,2.774E-01,,1.019E-01,4.126E-02,4.709E-01,2.623E-01,5.921E-02,4.82E-02
HIP79739,244.104934692,-24.988735199,USco,,2.931E-01,,9.823E-02,1.105E-02,4.959E-01,2.767E-01,4.422E-02,1.457E-02
HIP79771,244.210922241,-25.8629627228,USco,,2.774E-01,,9.381E-02,1.065E-02,4.918E-01,2.689E-01,4.389E-02,1.349E-02
161120.4-191937,242.835189819,-19.3269233704,USco,,,,,,4.209E-02,2.642E-02,5.171E-03,5.705E-03
CD-492037,90.8975372314,-49.1904602051,OCT,,,,,,7.73E-02,4.223E-02,7.607E-03,
CD-66395,96.3017578125,-66.4861907959,OCT,,,,,,8.617E-02,4.647E-02,8.379E-03,2.518E-03
CD-303394N,100.020324707,-30.550945282,OCT,,,,,,1.208E-01,6.546E-02,1.118E-02,
CD-303394S,100.023895264,-30.5524902344,OCT,,,,,,1.021E-01,5.536E-02,9.845E-03,4.65E-03
93000529,282.438079834,-71.949432373,OCT,,,,,,4.918E-02,2.694E-02,4.592E-03,
93000891,282.452911377,-71.9528045654,OCT,,,,,,1.064E-01,5.899E-02,1.033E-02,
CP-791037M,296.766113281,-78.9619979858,OCT,,,,,,7.056E-02,3.912E-02,7.138E-03,
CP-82784M,298.486999512,-82.6782531738,OCT,,,,,,1.148E-01,6.177E-02,1.126E-02,
Erickson2011_66,246.594024658,-23.972114563,Oph,4.08E-03,2.65E-03,1.85E-03,1.15E-03,,4.295E-03,2.608E-03,,
Erickson2011_93,246.820526123,-24.1133575439,Oph,1.13E-01,7.54E-02,5.97E-02,3.67E-02,4.08E-03,1.561E-01,8.669E-02,1.918E-02,
Erickson2011_96,246.835235596,-23.9784545898,Oph,8.87E-04,5.45E-04,3.87E-04,2.42E-04,,1.05E-03,6.126E-04,,
Erickson2011_97,246.854049683,-23.9316139221,Oph,4.87E-02,3.03E-02,2.39E-02,1.53E-02,1.69E-03,6.429E-02,3.385E-02,1.009E-02,1.084E-02
Erickson2011_98,246.869873047,-24.160528183,Oph,1.48E-02,9.79E-03,8.07E-03,4.51E-03,,2.015E-02,1.218E-02,,
Erickson2011_99,246.878509521,-24.7907848358,Oph,8.09E-02,6.09E-02,4.77E-02,2.67E-02,2.22E-03,7.766E-02,6.303E-02,1.354E-02,8.723E-03
Erickson2011_122,247.045806885,-24.104932785,Oph,4E-02,2.87E-02,1.94E-02,1.1E-02,1.24E-03,4.083E-02,2.857E-02,,
Erickson2011_129,247.065231323,-24.1587142944,Oph,3.19E-02,1.97E-02,1.46E-02,9.22E-03,1.14E-03,3.377E-02,1.916E-02,5.012E-03,8.149E-03
Erickson2011_130,247.068984985,-24.1268005371,Oph,6.69E-03,4.54E-03,3.3E-03,2.05E-03,,8.625E-03,5.385E-03,2.042E-03,
Erickson2011_131,247.069732666,-24.0872955322,Oph,1.34E-01,1.29E-01,1.09E-01,9.02E-02,9.34E-02,2.108E-01,1.867E-01,1.036E-01,1.558E-01
Erickson2011_132,247.072860718,-24.565202713,Oph,1.15E-01,6.99E-02,5.63E-02,3.1E-02,3.14E-03,1.202E-01,7.138E-02,1.328E-02,
Erickson2011_160,247.244338989,-24.0730209351,Oph,2.32E-02,1.59E-02,1.12E-02,6.83E-03,1.04E-03,2.605E-02,1.557E-02,3.136E-03,6.84E-03
Erickson2011_163,247.257522583,-23.939414978,Oph,8.12E-02,5.04E-02,4.06E-02,2.63E-02,4.85E-03,9.057E-02,5.556E-02,1.301E-02,
JH112B,68.2057495117,22.8856163025,Taurus,1.128E-01,9.633E-02,8.964E-02,9.717E-02,6.959E-01,1.034E-01,9.488E-02,8.076E-02,1.122E-01
HIP79785,244.244857788,-21.3040962219,USco,,4.477E-01,,1.514E-01,1.801E-02,7.694E-01,4.254E-01,6.798E-02,2.039E-02
HIP79860,244.522750854,-31.6517810822,USco,,1.268E-01,,4.449E-02,5.242E-03,2.238E-01,1.272E-01,1.993E-02,
HIP80059,245.117218018,-21.5090045929,USco,,1.919E-01,,7.116E-02,7.718E-03,3.291E-01,1.836E-01,2.995E-02,8.141E-03
161129.4-194224,242.872497559,-19.706861496,USco,,,,,,1.106E-02,7.82E-03,1.165E-03,
[PBB2002]UScoJ160226.2-200241,240.609039307,-20.0445404053,USco,1.544E-02,1.114E-02,7.323E-03,4.095E-03,4.96E-04,1.528E-02,1.055E-02,1.631E-03,
[PBB2002]UScoJ160245.4-193037,240.689376831,-19.5104961395,USco,,9.706E-03,,3.666E-03,5.242E-04,1.303E-02,9.086E-03,1.857E-03,
[PBB2002]UScoJ160329.4-195503,240.872543335,-19.9177284241,USco,,9.886E-03,,3.7E-03,5.909E-04,1.389E-02,9.514E-03,1.512E-03,
Erickson2011_12,246.205123901,-24.4701652527,Oph,5.57E-02,3.62E-02,2.63E-02,1.64E-02,,6.185E-02,3.574E-02,2.278E-02,8.772E-02
Erickson2011_13,246.214431763,-24.2892284393,Oph,6.87E-02,4.51E-02,3.29E-02,2.13E-02,1.86E-03,7.687E-02,4.525E-02,3.458E-02,6.532E-02
Erickson2011_14,246.231552124,-24.154176712,Oph,1.15E-02,7.63E-03,5.51E-03,3.14E-03,,1.223E-02,7.461E-03,4.357E-03,
Erickson2011_15,246.232543945,-24.8926944733,Oph,1.8E-02,1.06E-02,7.73E-03,4.87E-03,,1.927E-02,1.035E-02,,
Erickson2011_16,246.238723755,-24.1900157928,Oph,8.23E-02,5.82E-02,4.1E-02,2.51E-02,2.53E-03,8.192E-02,5.556E-02,1.56E-02,1.733E-02
Erickson2011_17,246.248916626,-24.9335651398,Oph,8.95E-02,7.59E-02,5.58E-02,5.83E-02,6.6E-02,8.826E-02,7.204E-02,4.975E-02,8.918E-02
Erickson2011_18,246.25869751,-24.9923191071,Oph,1.15E-01,1.07E-01,9.84E-02,1.67E-01,3.92E-01,1.105E-01,1.111E-01,2.162E-01,4.737E-01
Erickson2011_19,246.265380859,-24.3734340668,Oph,4.99E-02,3.62E-02,2.55E-02,1.56E-02,,5.672E-02,3.705E-02,,
Erickson2011_20,246.2709198,-24.6861915588,Oph,1.67E-01,9.74E-02,7.56E-02,4.71E-02,3.99E-03,1.837E-01,1.005E-01,2.577E-02,
Erickson2011_21,246.27281189,-24.0527896881,Oph,2.75E-02,1.61E-02,1.2E-02,7.54E-03,,3.041E-02,1.563E-02,2.122E-02,7.493E-02
Erickson2011_22,246.279449463,-23.9964160919,Oph,2.95E-03,1.99E-03,1.3E-03,8.3E-04,,3.337E-03,1.993E-03,3.407E-03,1.245E-02
Erickson2011_23,246.282073975,-23.9672813416,Oph,2.59E-02,1.71E-02,1.2E-02,7.37E-03,,2.853E-02,1.661E-02,,
Erickson2011_24,246.295562744,-24.7677364349,Oph,1.18E-02,8.84E-03,6.58E-03,4.57E-03,1.3E-03,1.093E-02,8.226E-03,9.454E-03,2.989E-02
Erickson2011_25,246.299530029,-24.6189289093,Oph,8.07E-02,4.88E-02,3.74E-02,2.41E-02,,8.965E-02,4.889E-02,2.162E-02,8.022E-02
Erickson2011_26,246.300369263,-23.9750843048,Oph,3.06E-02,1.89E-02,1.35E-02,8.51E-03,,3.246E-02,1.83E-02,4.242E-03,
Erickson2011_27,246.319213867,-24.0779342651,Oph,1.65E-02,1.05E-02,7.47E-03,4.67E-03,,1.751E-02,9.727E-03,3.624E-02,9.168E-02
Erickson2011_28,246.320388794,-24.1954498291,Oph,1.63E-01,1.03E-01,8.02E-02,5.06E-02,5.28E-03,1.87E-01,1.078E-01,4.562E-02,6.502E-02
Erickson2011_33,246.350036621,-23.9490032196,Oph,2.97E-03,2.03E-03,1.48E-03,6.21E-04,,3.205E-03,2.01E-03,,
Erickson2011_164,247.25793457,-24.5196304321,Oph,3.78E-04,2.48E-04,2.26E-04,,,3.507E-04,1.515E-04,,
Erickson2011_165,247.262008667,-24.4637393951,Oph,4.72E-02,3.25E-02,2.29E-02,1.36E-02,1.66E-03,5.951E-02,4.83E-02,1.222E-02,1.131E-02
Erickson2011_166,247.265640259,-24.5006275177,Oph,2.16E-03,1.44E-03,1.11E-03,5.86E-04,,2.046E-03,1.3E-03,,
Wilking2005_12,247.097229004,-24.3779335022,Oph,2.91E-01,3.07E-01,2.55E-01,1.86E-01,2.54E-01,2.715E-01,2.79E-01,1.15E-01,2.429E-01
Wilking2005_14,246.4896698,-24.5088157654,Oph,1.89E-01,1.33E-01,9.52E-02,5.76E-02,5.42E-03,2.139E-01,1.36E-01,9.781E-02,7.992E-02
Wilking2005_15,246.600296021,-24.2704143524,Oph,2.22E+00,2.33E+00,2.7E+00,3.14E+00,2.92E+00,7.596E-01,1.377E+00,1.833E+00,2.857E+00
[PBB2002]UScoJ160357.9-194210,240.991394043,-19.703004837,USco,,2.393E-02,,2.034E-02,2.532E-02,3.066E-02,2.549E-02,2.158E-02,2.53E-02
[PBB2002]UScoJ160628.7-200357,241.619689941,-20.065870285,USco,,1.687E-02,,6.141E-03,7.79E-04,2.367E-02,1.578E-02,2.772E-03,
[PBB2002]UScoJ160823.2-193001,242.096862793,-19.5002593994,USco,5.923E-02,4.645E-02,3.773E-02,4.49E-02,7.647E-02,6.597E-02,4.373E-02,4.664E-02,8.022E-02
[PBB2002]UScoJ160823.5-191131,242.098205566,-19.1921062469,USco,,2.328E-02,,8.715E-03,1.258E-03,3.374E-02,2.154E-02,4.293E-03,
Erickson2011_50,246.433914185,-24.5508842468,Oph,1.11E-01,7.29E-02,5.59E-02,3.49E-02,,1.166E-01,6.811E-02,,
Erickson2011_51,246.456848145,-24.8588562012,Oph,,6.26E-02,,2.62E-02,3.07E-03,1.066E-01,6.149E-02,1.288E-02,
Erickson2011_52,246.460693359,-24.7932834625,Oph,7.1E-02,5.33E-02,3.96E-02,2.36E-02,1.6E-03,9.449E-02,5.306E-02,1.392E-02,1.425E-02
Erickson2011_53,246.462387085,-24.5823326111,Oph,5.96E-02,4.05E-02,3.17E-02,2.05E-02,4.21E-03,6.77E-02,4.092E-02,6.234E-02,2.553E-01
Erickson2011_54,246.469009399,-24.0719585419,Oph,3.07E-03,1.99E-03,1.29E-03,5.8E-04,,3.12E-03,1.706E-03,,
Erickson2011_55,246.489761353,-24.702287674,Oph,6.21E-02,4.18E-02,3.04E-02,1.86E-02,,7.056E-02,4.238E-02,6.504E-02,1.698E-01
Erickson2011_56,246.49005127,-24.6837406158,Oph,2.22E-02,1.45E-02,1.07E-02,7.15E-03,,2.44E-02,1.402E-02,,1.497E-01
Erickson2011_57,246.495559692,-24.8800983429,Oph,,2.33E-02,,9.26E-03,1.33E-03,3.255E-02,2.28E-02,8.559E-03,1.469E-02
Erickson2011_58,246.508651733,-24.0342464447,Oph,1.08E-01,6.03E-02,4.95E-02,3.11E-02,3.47E-03,1.146E-01,6.269E-02,1.363E-02,
Erickson2011_59,246.512069702,-24.1465110779,Oph,2.49E-02,1.72E-02,1.2E-02,7.11E-03,,2.773E-02,1.733E-02,1.788E-02,5.658E-02
Erickson2011_60,246.537261963,-24.0244617462,Oph,4.76E-02,2.94E-02,2.04E-02,1.31E-02,1.78E-03,5.098E-02,2.844E-02,,
Erickson2011_61,246.545410156,-24.8709545135,Oph,,5.06E-02,,2.22E-02,1.91E-03,8.883E-02,4.984E-02,8.995E-03,
Erickson2011_62,246.569656372,-24.0019187927,Oph,4.93E-02,3.01E-02,2.21E-02,1.4E-02,,5.472E-02,3.011E-02,8.574E-03,
Erickson2011_67,246.600189209,-24.413356781,Oph,7.55E-01,2.1E+00,2.44E+00,2.69E+00,2.39E+00,3.208E+00,5.072E+00,2.521E+00,3.075E+00
Erickson2011_68,246.601074219,-24.0210037231,Oph,1.15E-02,8.02E-03,5.84E-03,3.46E-03,,1.09E-02,7.994E-03,3.876E-03,
Erickson2011_69,246.621856689,-24.8045806885,Oph,1.3E-03,8.83E-04,5.83E-04,3.45E-04,,1.372E-03,7.841E-04,,3.075E-02
Erickson2011_70,246.64805603,-24.9333267212,Oph,,7.37E-04,,3E-04,,1.299E-03,7.488E-04,,
Erickson2011_71,246.653442383,-24.2644138336,Oph,1.51E-01,1.3E-01,3.49E-01,5E-01,9.4E-01,1.111E-01,2.036E-01,5.66E-01,1.02E+00
Erickson2011_72,246.655899048,-24.1450576782,Oph,2.71E-02,1.73E-02,1.31E-02,7.99E-03,,2.977E-02,1.687E-02,,
Erickson2011_74,246.679611206,-24.1859760284,Oph,4.66E-02,2.58E-02,2.24E-02,1.17E-02,,5.131E-02,3.014E-02,3.681E-03,
Erickson2011_75,246.681182861,-24.8735771179,Oph,,1.4E-02,9.22E-03,6.61E-03,,2.84E-02,1.493E-02,2.711E-03,
Wilking2005_16,246.702697754,-23.9428291321,Oph,3.13E-01,3.09E-01,2.52E-01,2.42E-01,6.8E-01,3.007E-01,2.813E-01,2.156E-01,5.892E-01
Wilking2005_17,246.909683228,-24.61627388,Oph,3.75E-01,3.35E-01,3.31E-01,3.97E-01,6.88E-01,3.412E-01,3.708E-01,3.496E-01,7.577E-01
Wilking2005_34,246.506698608,-24.4958248138,Oph,6.61E-02,4.7E-02,3.48E-02,2.12E-02,5.12E-03,,,,
[PBB2002]UScoJ161010.4-194539,242.543380737,-19.7610778809,USco,2.38E-02,1.641E-02,1.098E-02,6.255E-03,1.126E-03,2.424E-02,1.569E-02,2.989E-03,
[PBB2002]UScoJ161011.0-194603,242.54586792,-19.767791748,USco,1.129E-02,7.781E-03,5.305E-03,3.022E-03,7.79E-04,1.101E-02,7.613E-03,1.616E-03,
Erickson2011_90,246.787811279,-24.2002162933,Oph,7.2E-02,6.6E-02,6.3E-02,5.78E-02,4.69E-02,6.858E-02,6.931E-02,4.329E-02,6.091E-02
Erickson2011_91,246.799484253,-24.1753559113,Oph,4.9E-02,3.77E-02,2.72E-02,1.71E-02,1.93E-03,6.18E-02,3.88E-02,7.021E-03,
Erickson2011_92,246.821151733,-24.7864322662,Oph,6.31E-02,4.19E-02,3.1E-02,1.89E-02,1.73E-03,6.807E-02,3.923E-02,7.298E-03,
Erickson2011_94,246.82421875,-23.9792938232,Oph,1.03E-01,6.63E-02,5.67E-02,3.46E-02,5.48E-03,1.294E-01,7.784E-02,1.796E-02,
Erickson2011_95,246.824966431,-24.8881835938,Oph,3.7E-03,2.57E-03,1.84E-03,1.06E-03,,3.579E-03,2.364E-03,,
Erickson2011_100,246.880615234,-23.9856109619,Oph,9.84E-03,6.49E-03,4.98E-03,3.02E-03,,1.292E-02,7.468E-03,1.422E-02,5.499E-02
Erickson2011_101,246.887969971,-24.6875762939,Oph,5.71E-01,4.94E-01,4.73E-01,5.58E-01,7.21E-01,5.842E-01,6.522E-01,6.711E-01,9.933E-01
Erickson2011_102,246.902175903,-24.4759120941,Oph,1.21E-02,7.83E-03,5.67E-03,3.32E-03,,1.34E-02,7.98E-03,4.521E-03,
Erickson2011_103,246.902694702,-23.9741401672,Oph,9.13E-03,8.15E-03,7.02E-03,7.33E-03,8.21E-03,9.285E-03,7.461E-03,8.937E-03,
Erickson2011_104,246.904953003,-24.5097312927,Oph,1.41E+00,1.6E+00,4.06E+00,6E+00,,1.282E+00,2.437E+00,5.733E+00,3.62E+01
Erickson2011_105,246.908218384,-23.95662117,Oph,4E-02,2.91E-02,1.85E-02,1.25E-02,,,,,
Erickson2011_106,246.909744263,-24.0670318604,Oph,8.4E-02,6.36E-02,4.41E-02,2.32E-02,2.59E-03,1.029E-01,6.338E-02,1.351E-02,1.526E-02
Erickson2011_107,246.931671143,-24.8571949005,Oph,5.73E-02,3.62E-02,2.67E-02,1.67E-02,,6.435E-02,3.558E-02,6.773E-03,
Erickson2011_108,246.938446045,-25.059129715,Oph,,,,,,9.431E-03,6.379E-03,1.108E-03,
Erickson2011_109,246.955215454,-23.9356765747,Oph,9.13E-04,6.4E-04,5.17E-04,2.68E-04,,1.059E-03,7.184E-04,,
Erickson2011_110,246.976699829,-24.8668994904,Oph,4.2E-02,2.61E-02,1.89E-02,1.17E-02,1.12E-03,4.868E-02,2.554E-02,5.872E-03,
Erickson2011_112,247.003372192,-24.014377594,Oph,3.71E-02,2.66E-02,2.21E-02,1.33E-02,1.29E-03,5.202E-02,3.464E-02,4.313E-03,
Erickson2011_113,247.004928589,-24.0362014771,Oph,1.79E-02,1.4E-02,1.01E-02,7.08E-03,,2.771E-02,1.625E-02,5.867E-03,3.115E-02
Erickson2011_114,247.008682251,-24.3180141449,Oph,2.07E-02,1.44E-02,1.05E-02,5.86E-03,,2.244E-02,1.359E-02,3.429E-03,
Erickson2011_119,247.033111572,-24.0800991058,Oph,7.54E-02,5.18E-02,4.49E-02,2.85E-02,2.49E-03,1.284E-01,7.047E-02,1.7E-02,2.789E-02
Erickson2011_121,247.045059204,-24.9328212738,Oph,,1.43E-03,,5.75E-04,,2.345E-03,1.259E-03,2.22E-03,1.301E-02
Erickson2011_123,247.046188354,-24.4888134003,Oph,2.19E-02,1.47E-02,1.06E-02,6.48E-03,,2.52E-02,1.472E-02,5.214E-03,1.311E-02
Erickson2011_128,247.06149292,-24.3896064758,Oph,3.86E-02,3.27E-02,2.7E-02,1.89E-02,2.11E-03,3.957E-02,3.191E-02,1.158E-02,
Erickson2011_133,247.077560425,-24.3375263214,Oph,7.42E-02,4.68E-02,3.55E-02,2.13E-02,2.04E-03,7.91E-02,4.541E-02,9.594E-03,
Erickson2011_138,247.08984375,-24.2958240509,Oph,2.4E-02,1.61E-02,1.13E-02,6.91E-03,,2.543E-02,1.523E-02,4.592E-03,
Erickson2011_139,247.095672607,-24.8080310822,Oph,1.74E-02,1.25E-02,8.97E-03,5.42E-03,,1.748E-02,1.264E-02,2.667E-03,
Erickson2011_141,247.10333252,-24.5953941345,Oph,1.15E-02,8.1E-03,5.55E-03,3.49E-03,,1.12E-02,7.958E-03,,
PPM747651,244.960769653,-33.9125976562,USco,,7.926E-02,,2.912E-02,3.561E-03,1.451E-01,7.712E-02,1.36E-02,
Erickson2011_142,247.117980957,-24.8726177216,Oph,1.35E-02,7.85E-03,5.98E-03,3.57E-03,,1.485E-02,7.53E-03,,
Erickson2011_144,247.122390747,-24.5224113464,Oph,1.39E-03,9.19E-04,6.15E-04,4.07E-04,,1.433E-03,7.856E-04,,
Erickson2011_145,247.129226685,-24.0426502228,Oph,1.23E-01,7.87E-02,5.97E-02,3.47E-02,4.06E-03,1.358E-01,8.15E-02,2.212E-02,2.013E-02
Erickson2011_146,247.134048462,-24.0967407227,Oph,3.54E-02,2.57E-02,1.86E-02,1.1E-02,1.39E-03,3.427E-02,2.544E-02,7.165E-03,
Erickson2011_147,247.135665894,-24.2567310333,Oph,6.01E-02,4.01E-02,2.92E-02,1.72E-02,,5.323E-02,3.937E-02,8.863E-03,1.492E-02
Erickson2011_148,247.151031494,-24.0118675232,Oph,6.91E-03,4.56E-03,3.23E-03,1.92E-03,,7.443E-03,4.43E-03,4.857E-03,1.733E-02
Erickson2011_149,247.179351807,-24.3811817169,Oph,3.57E-02,2.61E-02,1.8E-02,1.09E-02,1.18E-03,3.586E-02,2.523E-02,3.611E-03,
Erickson2011_151,247.181518555,-24.0789337158,Oph,3.94E-03,2.66E-03,1.89E-03,1.05E-03,,4.197E-03,2.45E-03,,
Erickson2011_152,247.181884766,-24.1112957001,Oph,6.8E-02,4.02E-02,3.08E-02,1.85E-02,1.6E-03,7.437E-02,3.855E-02,8.488E-03,
Erickson2011_153,247.195983887,-24.4705085754,Oph,9.301E-03,9.529E-03,8.564E-03,8.246E-03,8.008E-03,9.397E-03,9.709E-03,7.586E-03,1.19E-02
Erickson2011_158,247.23664856,-24.6361503601,Oph,2.28E-02,1.53E-02,1.1E-02,6.75E-03,,2.56E-02,1.472E-02,2.803E-03,
Erickson2011_159,247.237289429,-24.5193481445,Oph,2.35E-02,2.05E-02,1.83E-02,2.19E-02,3.58E-02,2.201E-02,2.085E-02,1.885E-02,3.36E-02
Erickson2011_161,247.246734619,-24.0875720978,Oph,2.15E-03,1.44E-03,1.02E-03,6.03E-04,,2.337E-03,1.42E-03,1.637E-03,
Erickson2011_162,247.249801636,-24.4441795349,Oph,3.42E-03,2.06E-03,1.49E-03,9.25E-04,,4.14E-03,2.16E-03,,
Erickson2011_168,247.297927856,-24.3708591461,Oph,2.39E-04,1.7E-04,,,,,,,
Erickson2011_170,247.309295654,-24.1981315613,Oph,8.45E-02,5.25E-02,4.04E-02,2.47E-02,2.04E-03,8.673E-02,5.277E-02,9.963E-03,
Erickson2011_171,247.333358765,-24.3588619232,Oph,5.48E-04,3.62E-04,2.73E-04,,,5.858E-04,3.512E-04,9.972E-04,
Erickson2011_177,247.35144043,-24.1502304077,Oph,3.4E-02,2.18E-02,1.59E-02,9.38E-03,,3.758E-02,2.103E-02,3.869E-03,
Erickson2011_178,247.352218628,-24.1132926941,Oph,2.34E-02,2.82E-02,2.04E-02,1.28E-02,1.17E-03,4.954E-02,2.759E-02,5.11E-03,
Erickson2011_180,247.362625122,-24.3884181976,Oph,2.05E-03,1.5E-03,1.03E-03,5.79E-04,,2.102E-03,1.389E-03,,
Erickson2011_182,247.383087158,-24.0968494415,Oph,2.94E-02,1.74E-02,1.25E-02,7.51E-03,,3.181E-02,1.709E-02,3.37E-03,
PPM747978,250.532150269,-30.6438369751,USco,,6.967E-02,,2.584E-02,2.934E-03,1.204E-01,6.723E-02,1.182E-02,
[PZ99]J154413.4-252258,236.055603027,-25.3830833435,USco,,4.909E-02,,1.907E-02,2.31E-03,8.429E-02,4.725E-02,8.371E-03,
[PZ99]J153557.8-232405,233.990844727,-23.4012775421,USco,,3.335E-02,,1.271E-02,1.354E-03,5.746E-02,3.272E-02,5.613E-03,
Wilking2005_6,246.743774414,-24.7602405548,Oph,9.9E-01,,,1.04E+00,1.32E+00,1.019E+00,1.33E+00,1.382E+00,4.179E+00
[PZ99]J155716.6-252918,239.319747925,-25.4886817932,USco,,5.957E-02,,2.25E-02,2.777E-03,9.821E-02,5.675E-02,1.019E-02,
Wilking2005_7,246.48399353,-24.3467216492,Oph,6E-01,5.34E-01,4.66E-01,5.57E-01,2.19E+00,8.306E-01,6.982E-01,1.9E+00,4.099E+00
Wilking2005_8,246.571105957,-24.3393363953,Oph,2.57E-01,2.21E-01,1.88E-01,2.11E-01,4.6E-01,2.851E-01,2.274E-01,2.742E-01,5.146E-01
Wilking2005_9,246.59866333,-24.7205181122,Oph,3.67E-01,2.92E-01,2.99E-01,2.58E-01,3.99E-01,4.147E-01,3.197E-01,2.099E-01,5.061E-01
Wilking2005_18,246.912567139,-23.9718704224,Oph,2.12E-01,1.69E-01,1.93E-01,2.22E-01,2.11E-01,3.957E-01,3.416E-01,1.786E-01,2.367E-01
Wilking2005_19,246.909698486,-23.9589996338,Oph,3.95E-01,3.01E-01,2.72E-01,3.22E-01,4.46E-01,4.315E-01,3.345E-01,2.764E-01,5.726E-01
Wilking2005_20,246.704086304,-24.6403446198,Oph,1.01E-01,1.35E-01,1.03E-01,8.67E-02,1.22E-01,1.839E-01,2.549E-01,1.436E-01,2.844E-01
Wilking2005_21,246.736557007,-24.2309913635,Oph,1.75E-01,1.45E-01,1.66E-01,1.46E-01,1.58E-01,1.37E-01,1.427E-01,9.137E-02,1.54E-01
Wilking2005_22,246.967041016,-24.6806602478,Oph,2.03E-01,1.45E-01,1.06E-01,6.27E-02,7.4E-03,2.221E-01,1.422E-01,2.759E-02,9.565E-03
Wilking2005_23,246.831298828,-24.6945533752,Oph,1.4E-01,9.47E-02,6.83E-02,3.99E-02,5.24E-03,1.541E-01,9.558E-02,1.502E-02,2.525E-02
Wilking2005_24,247.225296021,-24.7956237793,Oph,1.23E-01,8.46E-02,6.5E-02,5.69E-02,3.84E-01,1.137E-01,7.82E-02,7.656E-02,4.141E-01
Wilking2005_25,246.414916992,-24.443031311,Oph,2.05E-01,2.13E-01,1.92E-01,2.97E-01,1.04E+00,2.183E-01,2.482E-01,5.818E-01,3.335E+00
Wilking2005_28,246.813049316,-24.8607807159,Oph,8.25E-02,7.28E-02,5.86E-02,5.23E-02,1.39E-01,6.567E-02,4.83E-02,4.258E-02,1.725E-01
Wilking2005_29,246.877197266,-24.5429801941,Oph,4.69E-03,3.22E-03,2.22E-03,1.36E-03,,4.387E-03,3.076E-03,,
Wilking2005_30,246.924468994,-24.0742301941,Oph,4.91E-02,2.67E-02,2.56E-02,1.36E-02,1.52E-03,5.589E-02,3.634E-02,6.552E-03,
Wilking2005_32,246.981582642,-24.4383068085,Oph,1.48E-01,1.46E-01,1.29E-01,1.48E-01,1.36E-01,1.814E-01,1.58E-01,1.293E-01,1.335E-01
Wilking2005_33,247.101257324,-24.1588039398,Oph,4.43E-02,3.18E-02,2.23E-02,1.38E-02,1.7E-03,4.864E-02,3.263E-02,7.777E-03,7.897E-03
Wilking2005_35,246.684570312,-24.7205905914,Oph,5.18E-02,3.48E-02,2.49E-02,1.46E-02,1.95E-03,5.074E-02,3.376E-02,,
Wilking2005_37,247.080108643,-24.9594593048,Oph,,2.65E-02,,1.14E-02,,4.125E-02,2.647E-02,6.042E-03,
