 6049444638801226368  3.30E-14  2.10E-16  1.20E-14  3.23E-16  6.81E-14  1.19E-15  2.34E-13  3.94E-14  3.44E-13  4.92E-14  3.51E-13  3.89E-14  2.53E-13  6.49E-14  1.57E-13  4.01E-14  3.61E-14  9.22E-15  2.95E-14  7.56E-16    Class  II  Control 
 6050172068822858624  2.36E-11  6.11E-15  2.96E-11  2.89E-14  1.88E-11  2.50E-14  9.09E-12  1.56E-12  4.62E-12  6.65E-13  2.50E-12  2.78E-13  7.59E-13  1.98E-13  3.41E-13  8.72E-14  4.43E-14  1.13E-14  3.06E-14  7.82E-16    Class III  Control 
 6050176604308499840  3.99E-15  3.93E-18  6.03E-16  1.10E-17  1.02E-14  4.38E-17  5.43E-14  9.20E-15  7.84E-14  1.12E-14  6.47E-14  7.22E-15  2.63E-14  6.73E-15  1.58E-14  4.05E-15  6.07E-15  1.56E-15  4.83E-15  2.83E-16    Class  II  Control 
 6050204641855013376  1.45E-14  6.99E-17  3.66E-15  7.53E-17  3.52E-14  1.99E-16  1.38E-13  2.33E-14  1.74E-13  2.48E-14  1.36E-13  1.52E-14  6.46E-14  1.65E-14  4.73E-14  1.21E-14  2.15E-14  5.50E-15  1.80E-14  6.57E-16    Class  II  Control 
 6050218523189626624  1.86E-13  9.93E-16  1.02E-13  2.10E-15  3.19E-13  4.82E-15  6.00E-13  1.01E-13  6.78E-13  9.94E-14  5.27E-13  5.94E-14  2.98E-13  7.65E-14  1.62E-13  4.13E-14  7.01E-14  1.79E-14  1.03E-13  2.27E-15    Class  II  Control 
 6050270303315054080  5.01E-15  2.84E-17  9.42E-16  2.32E-17  1.22E-14  2.24E-16  4.92E-14  8.30E-15  5.21E-14  7.47E-15  3.83E-14  4.27E-15  1.55E-14  3.98E-15  9.10E-15  2.33E-15  2.08E-15  5.33E-16  1.96E-15  2.15E-16    Class  II  Control 
 6050297206990387840  1.26E-14  5.25E-17  2.75E-15  4.74E-17  2.95E-14  3.92E-16  1.01E-13  1.72E-14  1.09E-13  1.56E-14  8.05E-14  8.98E-15  3.91E-14  1.00E-14  2.45E-14  6.27E-15  1.43E-14  3.66E-15  1.14E-14  3.56E-16    Class  II  Control 
 6050352010777437952  1.46E-14  1.65E-17  3.37E-15  2.27E-17  3.37E-14  1.02E-16  8.76E-14  1.48E-14  9.08E-14  1.30E-14  6.99E-14  7.82E-15  3.62E-14  9.25E-15  2.57E-14  6.56E-15  7.32E-15  1.87E-15  6.74E-15  2.90E-16    Class  II      New 
 6050352659313505536  1.52E-11  8.14E-15  1.94E-11  3.70E-14  1.16E-11  2.14E-14  5.67E-12  9.56E-13  2.84E-12  4.13E-13  1.45E-12  1.61E-13  4.38E-13  1.14E-13  1.77E-13  4.52E-14  1.16E-14  2.98E-15  1.95E-15  1.64E-16  Photosphere    Other 
 6050496459111584384  4.10E-12  1.12E-15  4.52E-12  3.98E-15  3.90E-12  3.61E-15  2.35E-12  3.97E-13  1.27E-12  1.87E-13  7.10E-13  7.86E-14  2.21E-13  5.67E-14  8.95E-14  2.29E-14  7.59E-15  1.94E-15  3.66E-15  2.37E-16    Class III    Other 
 6050514120021417728  2.75E-14  1.10E-16  9.68E-15  1.28E-16  5.70E-14  7.29E-16  1.28E-13  2.17E-14  1.19E-13  1.70E-14  7.82E-14  8.70E-15  2.96E-14  7.57E-15  1.67E-14  4.28E-15  5.19E-15  1.33E-15  2.52E-15  2.07E-16    Class  II      New 
 6050574730599548288  7.12E-15  1.79E-17  1.66E-15  5.64E-17  1.72E-14  8.16E-17  5.42E-14  9.14E-15  4.43E-14  6.34E-15  3.09E-14  3.45E-15  1.40E-14  3.57E-15  9.14E-15  2.34E-15  4.40E-15  1.12E-15  2.83E-15  1.71E-16    Class  II      New 
 6050626201483958400  9.61E-15  5.63E-17  1.66E-15  5.27E-17  2.44E-14  2.95E-16  6.29E-14  1.07E-14  5.88E-14  8.50E-15  4.47E-14  5.04E-15  2.10E-14  5.38E-15  1.36E-14  3.47E-15  3.98E-15  1.02E-15  3.22E-15  2.36E-16    Class  II  Control 
 6050644102907664640  2.70E-15  1.31E-17  3.20E-16  1.52E-17  7.40E-15  1.07E-16  3.44E-14  5.80E-15  3.10E-14  4.44E-15  2.37E-14  2.63E-15  1.06E-14  2.70E-15  7.26E-15  1.86E-15  3.03E-15  7.79E-16  3.98E-15  2.87E-16    Class  II  Control 
 6050662725885745536  1.04E-14  5.24E-17  1.85E-15  4.23E-17  2.55E-14  4.05E-16  1.55E-13  2.65E-14  2.74E-13  3.99E-14  2.64E-13  3.03E-14  1.79E-13  4.59E-14  1.12E-13  2.85E-14  2.73E-14  6.98E-15  2.03E-14  5.56E-16    Class  II  Control 
 6050681211424993280  6.25E-15  4.74E-18  8.58E-16  1.02E-17  1.61E-14  6.46E-17  7.61E-14  1.28E-14  1.00E-13  1.43E-14  8.00E-14  8.90E-15  3.31E-14  8.47E-15  1.93E-14  4.94E-15  8.41E-15  2.15E-15  5.90E-15  2.91E-16    Class  II  Control 
 6050895783696207872  2.36E-13  3.09E-16  1.45E-13  5.75E-16  3.74E-13  9.91E-16  5.91E-13  9.98E-14  5.27E-13  7.55E-14  3.34E-13  3.71E-14  1.11E-13  2.85E-14  4.57E-14  1.17E-14  3.46E-15  8.87E-16  6.25E-16  1.71E-16  Photosphere      New 
 6050899361406000000  8.33E-14  3.08E-16  3.63E-14  5.14E-16  1.58E-13  1.58E-15  3.74E-13  6.32E-14  4.16E-13  5.96E-14  2.78E-13  3.10E-14  9.96E-14  2.55E-14  4.36E-14  1.12E-14  5.12E-15  1.31E-15  7.71E-15  3.09E-16    Class  II      New 
 6050905271281078400  1.23E-15  1.75E-18  1.42E-16  8.94E-18  3.45E-15  1.45E-17  1.65E-14  2.79E-15  1.87E-14  2.68E-15  1.46E-14  1.64E-15  6.20E-15  1.59E-15  3.85E-15  9.85E-16  1.77E-15  4.62E-16  1.50E-15  1.92E-16    Class  II  Control 
 6050951072812273664  1.00E-13  2.94E-16  4.54E-14  4.36E-16  1.86E-13  1.44E-15  4.24E-13  7.15E-14  4.70E-13  6.73E-14  3.30E-13  3.66E-14  1.60E-13  4.08E-14  8.09E-14  2.07E-14  8.89E-15  2.28E-15  5.33E-14  1.16E-15    Class  II    Other 
 6050953649792653312  3.52E-15  3.71E-18  4.98E-16  8.95E-18  9.20E-15  3.18E-17  3.76E-14  6.36E-15  3.94E-14  5.64E-15  2.92E-14  3.24E-15  1.25E-14  3.20E-15  7.75E-15  1.98E-15  2.76E-15  7.07E-16  2.81E-15  1.90E-16    Class  II      New 
 6050978182646139392  2.92E-14  5.87E-17  7.63E-15  6.60E-17  6.52E-14  4.03E-16  1.79E-13  3.03E-14  2.08E-13  2.98E-14  1.55E-13  1.73E-14  6.51E-14  1.67E-14  3.70E-14  9.47E-15  1.13E-14  2.90E-15  1.12E-14  3.69E-16    Class  II      New 
 6051097681519794944  5.12E-13  7.42E-16  3.43E-13  1.51E-15  7.54E-13  2.23E-15  1.02E-12  1.71E-13  8.80E-13  1.32E-13  5.39E-13  6.05E-14  1.67E-13  4.28E-14  6.90E-14  1.76E-14  5.68E-15  1.45E-15  1.17E-15  1.61E-16  Photosphere    Other 
 6051730076800626432  1.69E-15  2.78E-18  2.81E-16  1.10E-17  4.61E-15  2.26E-17  2.39E-14  4.04E-15  2.67E-14  3.83E-15  2.04E-14  2.27E-15  8.90E-15  2.28E-15  5.83E-15  1.49E-15  2.19E-15  5.66E-16  1.49E-15  2.15E-16    Class  II  Control 
 6051732000945974912  2.32E-14  1.05E-17  4.60E-15  2.32E-17  5.55E-14  8.77E-17  1.87E-13  3.16E-14  1.90E-13  2.71E-14  1.29E-13  1.43E-14  4.62E-14  1.18E-14  2.25E-14  5.74E-15  1.99E-15  5.24E-16  1.01E-15  1.58E-16    Class III      New 
 6051734990243252096  9.79E-15  4.79E-17  1.78E-15  3.35E-17  2.41E-14  3.15E-16  9.71E-14  1.64E-14  9.87E-14  1.41E-14  7.06E-14  7.85E-15  2.77E-14  7.09E-15  1.55E-14  3.96E-15  6.60E-15  1.70E-15  7.07E-15  1.05E-15    Class  II  Control 
 6051735608718562560  2.20E-14  4.34E-16  7.30E-15  5.12E-16  5.13E-14  2.75E-15  2.15E-13  3.62E-14  2.90E-13  4.15E-14  2.48E-13  2.76E-14  1.32E-13  3.38E-14  8.95E-14  2.29E-14  2.46E-14  6.28E-15  1.54E-14  5.21E-16    Class  II  Control 
 6051738701094968960  4.24E-15  1.23E-17  1.14E-15  3.42E-17  1.03E-14  8.78E-17  4.09E-14  6.90E-15  4.31E-14  6.17E-15  3.55E-14  3.95E-15  2.67E-14  6.82E-15  1.98E-14  5.06E-15  1.31E-14  3.35E-15  1.22E-14  3.56E-16    Class  II      New 
 6051801338898199296  4.67E-15  5.07E-18  6.78E-16  1.17E-17  1.19E-14  4.40E-17  4.93E-14  8.33E-15  5.35E-14  7.67E-15  4.10E-14  4.56E-15  1.87E-14  4.79E-15  1.19E-14  3.03E-15  2.44E-15  6.26E-16  2.02E-15  2.23E-16    Class  II    Other 
 6052114802793345792  5.69E-12  1.98E-15  6.67E-12  5.85E-15  4.97E-12  4.10E-15  2.84E-12  4.80E-13  1.49E-12  2.19E-13  8.04E-13  8.98E-14  2.51E-13  6.45E-14  1.02E-13  2.61E-14  9.55E-15  2.44E-15  3.93E-15  2.08E-16    Class III    Other 
 6244269200073741312  4.24E-12  8.15E-16  4.40E-12  2.47E-15  4.34E-12  3.41E-15  2.81E-12  4.74E-13  1.67E-12  2.41E-13  8.89E-13  9.91E-14  2.82E-13  7.25E-14  1.14E-13  2.91E-14  7.55E-15  1.93E-15  1.14E-15  1.58E-16  Photosphere    Other 
